ダウンロードした時刻：2020/07/09 13:56:32

,所沢,所沢,所沢
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2014/12/23,4.1,8,1
2014/12/24,3.0,8,1
2014/12/25,4.5,8,1
2014/12/26,3.3,8,1
2014/12/27,3.1,8,1
2014/12/28,1.6,8,1
2014/12/29,3.3,8,1
2014/12/30,4.2,8,1
2014/12/31,6.2,8,1
2015/1/1,2.4,8,1
2015/1/2,1.0,8,1
2015/1/3,2.5,8,1
2015/1/4,2.2,8,1
2015/1/5,5.3,8,1
2015/1/6,6.6,8,1
2015/1/7,4.0,8,1
2015/1/8,5.0,8,1
2015/1/9,4.7,8,1
2015/1/10,3.7,8,1
2015/1/11,3.7,8,1
2015/1/12,3.5,8,1
2015/1/13,4.3,8,1
2015/1/14,3.7,8,1
2015/1/15,4.0,8,1
2015/1/16,7.2,8,1
2015/1/17,3.9,8,1
2015/1/18,3.3,8,1
2015/1/19,3.0,8,1
2015/1/20,4.5,8,1
2015/1/21,1.2,8,1
2015/1/22,3.5,8,1
2015/1/23,5.5,8,1
2015/1/24,3.4,8,1
2015/1/25,4.2,8,1
2015/1/26,7.7,8,1
2015/1/27,8.1,8,1
2015/1/28,3.4,8,1
2015/1/29,2.4,8,1
2015/1/30,0.9,8,1
2015/1/31,3.3,8,1
2015/2/1,3.4,8,1
2015/2/2,3.7,8,1
2015/2/3,4.0,8,1
2015/2/4,3.5,8,1
2015/2/5,1.3,8,1
2015/2/6,3.7,8,1
2015/2/7,4.1,8,1
2015/2/8,2.2,8,1
2015/2/9,0.9,8,1
2015/2/10,1.3,8,1
2015/2/11,3.6,8,1
2015/2/12,4.5,8,1
2015/2/13,3.5,8,1
2015/2/14,2.6,8,1
2015/2/15,3.9,8,1
2015/2/16,5.5,8,1
2015/2/17,2.5,8,1
2015/2/18,2.5,8,1
2015/2/19,4.7,8,1
2015/2/20,4.4,8,1
2015/2/21,4.3,8,1
2015/2/22,4.2,8,1
2015/2/23,9.2,8,1
2015/2/24,8.3,8,1
2015/2/25,8.4,8,1
2015/2/26,5.4,8,1
2015/2/27,6.4,8,1
2015/2/28,6.3,8,1
2015/3/1,4.9,8,1
2015/3/2,7.7,8,1
2015/3/3,3.6,8,1
2015/3/4,8.2,8,1
2015/3/5,7.2,8,1
2015/3/6,6.4,8,1
2015/3/7,4.8,8,1
2015/3/8,7.5,8,1
2015/3/9,8.1,8,1
2015/3/10,6.5,8,1
2015/3/11,4.6,8,1
2015/3/12,6.8,8,1
2015/3/13,6.7,8,1
2015/3/14,6.5,8,1
2015/3/15,6.1,8,1
2015/3/16,8.7,8,1
2015/3/17,12.7,8,1
2015/3/18,13.4,8,1
2015/3/19,10.6,8,1
2015/3/20,11.4,8,1
2015/3/21,9.7,8,1
2015/3/22,10.6,8,1
2015/3/23,8.6,8,1
2015/3/24,5.8,8,1
2015/3/25,6.7,8,1
2015/3/26,7.7,8,1
2015/3/27,10.1,8,1
2015/3/28,11.9,8,1
2015/3/29,12.2,8,1
2015/3/30,14.0,8,1
2015/3/31,14.0,8,1
2015/4/1,12.5,8,1
2015/4/2,10.8,8,1
2015/4/3,15.2,8,1
2015/4/4,12.6,8,1
2015/4/5,9.3,8,1
2015/4/6,15.6,8,1
2015/4/7,9.5,8,1
2015/4/8,2.8,8,1
2015/4/9,5.6,8,1
2015/4/10,7.1,8,1
2015/4/11,10.9,8,1
2015/4/12,11.5,8,1
2015/4/13,8.7,8,1
2015/4/14,11.6,8,1
2015/4/15,13.7,8,1
2015/4/16,13.9,8,1
2015/4/17,14.6,8,1
2015/4/18,12.6,8,1
2015/4/19,12.9,8,1
2015/4/20,15.9,8,1
2015/4/21,16.6,8,1
2015/4/22,14.9,8,1
2015/4/23,16.9,8,1
2015/4/24,16.7,8,1
2015/4/25,15.9,8,1
2015/4/26,15.7,8,1
2015/4/27,18.0,8,1
2015/4/28,19.8,8,1
2015/4/29,17.7,8,1
2015/4/30,17.9,8,1
2015/5/1,19.2,8,1
2015/5/2,20.0,8,1
2015/5/3,19.5,8,1
2015/5/4,20.6,8,1
2015/5/5,17.8,8,1
2015/5/6,16.4,8,1
2015/5/7,18.1,8,1
2015/5/8,19.9,8,1
2015/5/9,17.2,8,1
2015/5/10,17.6,8,1
2015/5/11,15.7,8,1
2015/5/12,17.6,8,1
2015/5/13,21.1,8,1
2015/5/14,20.7,5,1
2015/5/15,21.5,8,1
2015/5/16,19.8,8,1
2015/5/17,21.4,8,1
2015/5/18,19.9,8,1
2015/5/19,18.7,8,1
2015/5/20,21.8,8,1
2015/5/21,18.3,8,1
2015/5/22,18.6,8,1
2015/5/23,20.5,8,1
2015/5/24,20.7,8,1
2015/5/25,20.3,8,1
2015/5/26,21.9,8,1
2015/5/27,23.1,8,1
2015/5/28,21.4,8,1
2015/5/29,19.6,8,1
2015/5/30,23.0,8,1
2015/5/31,24.2,8,1
2015/6/1,22.4,8,1
2015/6/2,22.0,8,1
2015/6/3,20.6,8,1
2015/6/4,21.9,8,1
2015/6/5,17.2,8,1
2015/6/6,18.1,8,1
2015/6/7,19.9,8,1
2015/6/8,19.6,8,1
2015/6/9,19.2,8,1
2015/6/10,22.0,8,1
2015/6/11,21.8,8,1
2015/6/12,21.1,8,1
2015/6/13,23.7,8,1
2015/6/14,22.0,8,1
2015/6/15,24.0,8,1
2015/6/16,22.8,8,1
2015/6/17,20.7,8,1
2015/6/18,20.1,8,1
2015/6/19,17.9,8,1
2015/6/20,20.7,8,1
2015/6/21,19.8,8,1
2015/6/22,21.6,8,1
2015/6/23,22.4,8,1
2015/6/24,23.3,8,1
2015/6/25,22.5,8,1
2015/6/26,20.9,8,1
2015/6/27,21.1,8,1
2015/6/28,22.7,8,1
2015/6/29,20.7,8,1
2015/6/30,21.4,8,1
2015/7/1,19.8,8,1
2015/7/2,21.6,8,1
2015/7/3,21.0,8,1
2015/7/4,21.6,8,1
2015/7/5,19.9,8,1
2015/7/6,19.2,8,1
2015/7/7,20.8,8,1
2015/7/8,21.5,8,1
2015/7/9,19.0,8,1
2015/7/10,22.7,8,1
2015/7/11,25.1,8,1
2015/7/12,26.3,8,1
2015/7/13,28.7,8,1
2015/7/14,29.4,8,1
2015/7/15,27.2,8,1
2015/7/16,24.1,8,1
2015/7/17,25.9,8,1
2015/7/18,25.8,8,1
2015/7/19,27.2,8,1
2015/7/20,27.2,8,1
2015/7/21,28.8,8,1
2015/7/22,28.3,8,1
2015/7/23,26.6,8,1
2015/7/24,27.6,8,1
2015/7/25,28.7,8,1
2015/7/26,30.1,8,1
2015/7/27,29.4,8,1
2015/7/28,28.6,8,1
2015/7/29,28.6,8,1
2015/7/30,27.8,8,1
2015/7/31,28.8,8,1
2015/8/1,29.3,8,1
2015/8/2,28.7,8,1
2015/8/3,28.7,8,1
2015/8/4,28.9,8,1
2015/8/5,28.9,8,1
2015/8/6,29.7,8,1
2015/8/7,30.4,8,1
2015/8/8,27.5,8,1
2015/8/9,27.6,8,1
2015/8/10,27.2,8,1
2015/8/11,28.6,8,1
2015/8/12,26.7,8,1
2015/8/13,26.3,8,1
2015/8/14,25.2,8,1
2015/8/15,26.9,8,1
2015/8/16,26.7,8,1
2015/8/17,24.3,8,1
2015/8/18,27.1,8,1
2015/8/19,27.3,8,1
2015/8/20,24.6,8,1
2015/8/21,25.1,8,1
2015/8/22,27.6,8,1
2015/8/23,24.6,8,1
2015/8/24,23.3,8,1
2015/8/25,20.2,8,1
2015/8/26,18.6,8,1
2015/8/27,23.3,8,1
2015/8/28,20.9,8,1
2015/8/29,19.6,8,1
2015/8/30,20.1,8,1
2015/8/31,20.9,8,1
2015/9/1,22.6,8,1
2015/9/2,25.8,8,1
2015/9/3,24.0,8,1
2015/9/4,23.9,8,1
2015/9/5,24.0,8,1
2015/9/6,22.4,8,1
2015/9/7,20.9,8,1
2015/9/8,19.0,8,1
2015/9/9,21.2,8,1
2015/9/10,21.2,8,1
2015/9/11,22.7,8,1
2015/9/12,23.4,8,1
2015/9/13,22.1,8,1
2015/9/14,22.1,8,1
2015/9/15,21.1,8,1
2015/9/16,19.7,8,1
2015/9/17,17.2,8,1
2015/9/18,19.5,8,1
2015/9/19,22.9,8,1
2015/9/20,21.8,8,1
2015/9/21,21.0,8,1
2015/9/22,21.8,8,1
2015/9/23,21.1,8,1
2015/9/24,18.8,8,1
2015/9/25,16.9,8,1
2015/9/26,20.1,8,1
2015/9/27,20.8,8,1
2015/9/28,22.3,8,1
2015/9/29,21.1,8,1
2015/9/30,19.3,8,1
2015/10/1,18.2,8,1
2015/10/2,21.4,8,1
2015/10/3,20.9,8,1
2015/10/4,19.8,8,1
2015/10/5,16.5,8,1
2015/10/6,16.7,8,1
2015/10/7,16.8,8,1
2015/10/8,19.0,8,1
2015/10/9,18.6,8,1
2015/10/10,16.5,8,1
2015/10/11,16.6,8,1
2015/10/12,17.2,8,1
2015/10/13,17.8,8,1
2015/10/14,16.3,8,1
2015/10/15,16.2,8,1
2015/10/16,14.8,8,1
2015/10/17,16.5,8,1
2015/10/18,17.7,8,1
2015/10/19,17.4,8,1
2015/10/20,17.3,8,1
2015/10/21,15.5,8,1
2015/10/22,16.3,8,1
2015/10/23,16.1,8,1
2015/10/24,17.4,8,1
2015/10/25,14.4,8,1
2015/10/26,13.6,8,1
2015/10/27,17.0,8,1
2015/10/28,18.9,8,1
2015/10/29,15.6,8,1
2015/10/30,15.8,8,1
2015/10/31,12.6,8,1
2015/11/1,11.1,8,1
2015/11/2,11.9,8,1
2015/11/3,14.4,8,1
2015/11/4,12.2,8,1
2015/11/5,13.4,8,1
2015/11/6,14.0,8,1
2015/11/7,14.9,8,1
2015/11/8,13.7,8,1
2015/11/9,15.7,8,1
2015/11/10,15.5,8,1
2015/11/11,13.1,8,1
2015/11/12,12.1,5,1
2015/11/13,11.1,8,1
2015/11/14,11.9,8,1
2015/11/15,15.8,8,1
2015/11/16,16.4,8,1
2015/11/17,16.8,8,1
2015/11/18,15.2,8,1
2015/11/19,13.2,8,1
2015/11/20,12.2,8,1
2015/11/21,13.7,8,1
2015/11/22,11.6,8,1
2015/11/23,11.5,8,1
2015/11/24,12.9,8,1
2015/11/25,7.7,8,1
2015/11/26,8.6,8,1
2015/11/27,8.4,8,1
2015/11/28,8.6,8,1
2015/11/29,8.2,8,1
2015/11/30,9.0,8,1
2015/12/1,9.7,8,1
2015/12/2,8.7,8,1
2015/12/3,9.9,8,1
2015/12/4,9.7,8,1
2015/12/5,8.3,8,1
2015/12/6,8.4,8,1
2015/12/7,7.0,8,1
2015/12/8,5.6,8,1
2015/12/9,6.2,8,1
2015/12/10,7.3,8,1
2015/12/11,12.2,8,1
2015/12/12,11.6,8,1
2015/12/13,9.3,8,1
2015/12/14,10.3,8,1
2015/12/15,9.7,8,1
2015/12/16,11.0,8,1
2015/12/17,8.3,8,1
2015/12/18,6.7,8,1
